date,"(0, 'hors')","(0, 'u')","(0, 'v')","(0, 'ws')","(0, 'wd')","(1, 'hors')","(1, 'u')","(1, 'v')","(1, 'ws')","(1, 'wd')","(2, 'hors')","(2, 'u')","(2, 'v')","(2, 'ws')","(2, 'wd')","(3, 'hors')","(3, 'u')","(3, 'v')","(3, 'ws')","(3, 'wd')",wp7
2009-07-01 01:00:00,1.0,3.14,-3.62,4.79,139.09,,,,,,,,,,,,,,,,0.051
2009-07-01 02:00:00,2.0,2.96,-3.56,4.63,140.26,,,,,,,,,,,,,,,,0.0
2009-07-01 03:00:00,3.0,2.89,-3.46,4.51,140.15,,,,,,,,,,,,,,,,0.0
2009-07-01 04:00:00,4.0,2.87,-3.33,4.4,139.26,,,,,,,,,,,,,,,,0.0
2009-07-01 05:00:00,5.0,2.8,-3.19,4.25,138.73,,,,,,,,,,,,,,,,0.0
2009-07-01 06:00:00,6.0,2.57,-3.07,4.0,140.0,,,,,,,,,,,,,,,,0.0
2009-07-01 07:00:00,7.0,2.14,-2.97,3.66,144.27,,,,,,,,,,,,,,,,0.025
2009-07-01 08:00:00,8.0,1.67,-2.86,3.32,149.72,,,,,,,,,,,,,,,,0.0
2009-07-01 09:00:00,9.0,1.43,-2.7,3.06,152.18,,,,,,,,,,,,,,,,0.0
2009-07-01 10:00:00,10.0,1.56,-2.46,2.91,147.59,,,,,,,,,,,,,,,,0.0
2009-07-01 11:00:00,11.0,1.89,-2.13,2.85,138.5,,,,,,,,,,,,,,,,0.0
2009-07-01 12:00:00,12.0,2.15,-1.77,2.78,129.44,,,,,,,,,,,,,,,,0.0
2009-07-01 13:00:00,13.0,2.16,-1.4,2.58,122.82,1.0,2.25,-1.78,2.87,128.33,,,,,,,,,,,0.0
2009-07-01 14:00:00,14.0,2.06,-1.05,2.31,117.08,2.0,2.35,-1.77,2.94,127.01,,,,,,,,,,,0.0
2009-07-01 15:00:00,15.0,2.04,-0.78,2.19,110.9,3.0,2.45,-1.69,2.98,124.49,,,,,,,,,,,0.0
